FSCM,CustPN,CustRev,CoastPN,CoastRev,Name,Eng,Date
30554,71-4837,,40407,,,,
89944,71010217,,40459,,,,
93322,7101904-004,C,32607,,TRANSFORMER,,
10001,710867,,41003,,,,
17863,7117035,,40483,,,,
17863,7118813,D,32309,,TRANSFORMER PCM-8,,
17863,7118945,A,40518,,,,
17863,7118966,C1,40653,,,,
97896,712-0036-003,A,40120,,,,
97896,712-0036-002,,41177,,,,
5869,712010-33,,41188,,,,
12678,402794-004,AG,2140-4,,FILTER,,
A0027,3013759,,6068,,,,
5869,712073,,40576,,,,
5869,7120734,,40411,,,,
5869,712074,,40641,,,,
H0000,712075,,70014,,,,
5869,712089,,6910,,,,
5869,712090,,6897,,,,
5869,712091,,6911,,,,
5869,712095-1,B,70015,,"COIL, RADIO FREQUE",,
A0025,712262,,7641,,,,
A0025,712267,,7642,,,,
A0025,712270,,7643,,,,
86197,71262011,,,,,,
86197,71262012,,,,,,
86197,71262018,,,,,,
5869,712910-1,,7156,,,,
5869,712974,,30392,,,,
98571,7132000,,6141,,,,
98571,7132006,,6014,,,,
98571,7132007,,6013,,,,
98571,7132015,,6234,,,,
A0025,713238,,7492,,,,
12678,402794-061,AG,2140-61,,FILTER,,
A0025,713545,,7566,,,,
A0025,713554,,7567,,,,
12678,402794-001,AH,2140-1,,FILTER,,
A0025,713624,,7564,,,,
A0025,713633,,7568,,,,
A0025,713645,,7570,,,,
H0000,713810-44,,2225,,,,
H0000,713810-62,,2227,,,,
H0000,713810-83,,2063,,,,
H0000,713875-1,,70048,,,,
A0025,713928,,7563,,,,
8011,7140040,,2033,,,,
98571,7140041,,2035,,,,
8011,7140042,,2036,,,,
24930,71443-1,,50078-1,G,,,
24930,71444,,50077,C,,,
A0025,714712,,7671,,,,
95214,715342,,40374,,,,
96214,715386-1,,32432,,/05-51B,,
18876,715962,,,,,,
90536,7164365-0,,32449,,/05-68B,,
90536,7164365-1,,32448,,/05-67B,,
90536,7164365-2,,32447,,/05-66B,,
90536,7164365-4,,32446,,/05-65B,,
A0025,716579,,7899,,,,
90536,7168226-0,,32445,,/05-64B,,
90536,7168226-1,,32444,,/05-63B,,
95859,717751-1,B,,,,,
H0000,717770,,6034,,,,
H0000,717770-4,,2289,,,,
5869,718811,,6634,,,,
5869,718812-1,D,6645,,,,
5869,718813,,6635,,,,
5869,718816,,6636,,,,
10001,718818-1,C,6817*,NC,REACTOR,JA,11/5/1984
H0000,718822,,6637,,,,
H0000,718826,,6559,,,,
H0000,718828,,6576,,,,
5869,718840-5,B,6431,,REACTOR,,
96214,719001-2,,40299,,,,
20183,71909-1,B,40746,,TRANSFORMER,,
88818,C702846106,B,41788,,"TRANSFORMER, ELECT.",,
96214,719982-2,C,40997,,CHOKE RF,,
9062,71A0644,,40904,,,,
9062,71A0747-1,A,40905-1,,REACTOR,,
30554,72-2204,,41096,,"TRANSFORMER, ELECT",,
30554,72-2609,B,40007,,TRANSFORMER-POWER,,
30554,72-2619,,40015,,,,
H0000,722708,,6601,,,,
5869,722711,,40828,,,,
H0000,722724,,6538,,,,
H0000,722725,,6537,,,,
H0000,722726,,6539,,,,
H0000,722739,,6641,,,,
5869,722793,,40446,,,,
5869,722801-14,,40908,,,,
5869,722801-58,,,,,,
5869,722801-75,,40745,,,,
82577,722804,,8533,,COAST COIL PART,,
5869,722810-22,,8604,,,,
5869,722810-30,,,,,,
H0000,722826,,6565,,,,
5869,722835-025,,40625-25,,,,
5869,722835-107,,40796,,,,
H0000,722849-25,,6073,,,,
H0000,722849-7,,6066,,,,
5869,722850-16,,6592,,,,
H0000,722850-17,,6591,,,,
H0000,722852,,6813,,,,
5869,722872,A,7096,,,,
H0000,722898-20,,6409,,,,
5869,722898-21,H,,,,,
5869,722898-25,,6179,,,,
H0000,722898-31,,6067,,,,
H0000,722899-32,,7176,,,,
52634,72346,,30051,,,,
52634,72565,,7978,,,,
52634,72706,,30297,,,,
52634,72837,,30274,,,,
52634,72968,,30343,,,,
16170,7706134-2,J,30335-2,,TRANSFORMER,,
12115,7302-1060-2,,31403-01,,INDUCTOR,,
22100,7304,B,3438,,,,
90536,7311525,,32450,,/05-69B,,
49956,373120,,40513,,,,
A0021,7320,,7320,,,,
96214,732129,,40980,,,,
96214,732138-1,B,40738,,ELECTROMAGNET,,
A0049,732164-1,A,41010,,"TRANSFORMER,POWER",,
22915,7324,,7324,,,,
22915,7325,,7325,,,,
22915,7327,,7327,,,,
22915,7328,,7328,,,,
22915,7329,,7329,,,,
,7334,,7334,,,,
,7337,,7337,,,,
22100,7339,,3536,,,,
,7349,,7349,,,,
,7352,,7352,,,,
58421,7377,,7377,,,,
35351,739302,,40632,,,,
87990,73C5110A0029,,40319,,,,
4660,73P809,D,40524,,TRANSFORMER,,
36659,740643-101,H,41149,,,,
36659,740890,B,40477,,,,
H0000,7436684P002,,6859,,,,
,7451,,7451,,,,
22558,7452,A,7452,,TRANSFORMER,,
80249,809127-01,,42076-1,,,,
58421,7454,NC,7454,,,,
58421,7455,,7455,,,,
58421,7456,NC,7456,,"FIL, TRANSFOREMR",,
98571,7458,,7458,,,,
58421,7459,,7459,,,,
58421,7460,,7460,,,,
,7478,,7478,,,,
H0000,7484,,7484,,,,
22558,7485,,7485,,TRANSFORMER,,
22558,7486,NC,7486,,TRANSFORMER,,
28687,74E10N303,,30115,,,,
28687,74E10N304(D2),,40554,,,,
28687,74E10N304(D1),,30116,,,,
16340,75-00001,,40460,,,,
87990,755002A7654-30,L,7518-30,,,,
87990,755002A7654-34,,7518-34,,,,
,7521,,7521,,,,
,7526,,7526,,,,
99971,7531326,,40797,,,,
99971,7531351,,40503,,,,
,112-11119,,7535,,,,
,7547,,7547,,,,
58421,7548,,7548,,,,
58421,7549,,7549,,,,
58421,7550,,7550,,,,
87990,755002A7654,L,7518-29,,,,
87990,755002A7671,,7519,,,,
87990,755002A7678-1,F,,,,,
87990,755002A7680,F,7517,,TRANSFORMER,,
87990,755002A7742-7,B,U9491-7,,"COIL, RADIO FREQ.",,
87990,755090A0517,,40623,,,,
87990,755090A0518,,40627,,,,
87990,755090A0576,,40626,,,,
87990,755090A0748-1,C,32324,,CURRENT TRANSFORMER,,
87990,755090A0749-1,A,40497-1,,,,
87990,755090A0750,D,40549,,,,
87990,755090A0751,B,40496,,,,
87990,755090A0752,NC,40651,,,,
87990,755090A0754-1,"B,NO BID/C-LYNN",,,,,
87990,755090A0755,NC,40511,,,,
58421,7553,,7553,,,,
22558,7556,NC,7556,,TRANSFORMER,,
,7557,,7557,,,,
73030,756718,NC,40594,,"TRANSFORMER,OUTPUT",,
H0000,7569,,7569,,,,
99971,7570585G2,NC,41040-2,,COIL ASSY,CHA,7/21/1986
24930,75806-1,,50079-1,J,,,
24930,75806-4,,50079-4,,,,
24930,75806-7,,50079-7,,,,
99971,7583716,,40433,,,,
22558,7601,NC,7601,,TRANSFORMER,,
33128,7605338,COAST COIL PART,3314,,,,
24930,145620-1,C,50138-1,,COIL.RF,,
99971,7618156,,40611,,,,
87990,755002A7678-2,H,7516-2,,RF XFMR,,
99971,7637664,,40527,,,,
99971,7637672P1,E,40526,,,,
99971,7638637,F,40798,,,,
3538,7644913,,,,,,
A0021,7652,,7652,,,,
A0021,7653,,7653,,,,
19200,7606346,,40342,,,,
,7669,,7669,,,,
88277,7669002-503,C,40396,,,,
,7672,,7672,,,,
,7686,,7686,,,,
,7697,,7697,,,,
28687,76E5N304,B,30288,,,,
98571,7706134,J,30335-1,,TRANS,,
,7709,,7709,,,,
,7717,,7717,,,,
,7718,,7718,,,,
,7719,,7719,,,,
,7720,,7720,,,,
H0000,7736617P001,,6860,,,,
99971,7738522G2,,41025,,,,
22915,7745,,7745,,,,
22915,7746,,7746,,,,
,7749,,7749,,,,
,7751,,7751,,,,
3538,7758918P1,,40309,,,,
70210,7773,,7773,,,,
32964,7775,,7775,,,,
82386,778-301,NC,CMS205,,INDUCTOR,,
82386,778-55,,40647,,,,
,7780,,7780,,,,
96214,779943-1,NC,40610,,REACTOR,,
96214,779949-1,,32601,,/11-26F,,
3538,77C701582P015,,41057,,,,
3538,77C701593,,40720,,,,
3538,77C704726,B,40662,,,,
3538,77C708612,,40882,,,,
3538,77C709205,,,,,,
3538,77C712252-1,,32612,,,,
3538,77C712252-2,,32613,,,,
3538,77C717488P3,,40398,,,,
3538,77C717586,,40559,,,,
3538,77C718075,,32453,,/05-72B,,
3538,77C718405G1,,,,,,
82963,7800,,7800,,,,
58421,7813,,7813,,,,
H0000,7828,,7828,,,,
,7830,,7830,,,,
,7835,,7835,,,,
58421,7849,,7849,,,,
58421,7869,,7869,,,,
,7876,,7876,,,,
H0000,7895,,7895,,,,
,7910,,7910,,,,
51753,7915,,7915,,,,
82963,7918,,7918,,,,
97151,7937562,,41052,,,,
96467,797-11,,40490,,,,
,7977,,7977,,,,
52634,7979,,7979,,,,
,7980,,7980,,,,
,7981,,7981,,,,
6130,7992-025,,40290,,,,
,7999,,7999,,,,
50460,80-000153,,40585,,,,
12175,80-14357,,40686,,,,
30554,80-6188,,40622,,,,
T0001,800026,,7532,,,,
97151,8340718,,,,,,
7187,8001666,,40406,,,,
98571,8004086,,6064,,,,
XQ130,8012-01,,8012-01,,,,
,8017765,,7919,,,,
70210,801914,,30071,,,,
82577,984644-2,,8038-1,,,,
10581,8039,,40533,,,,
70210,805358-1,,32346,,COMMON MODE CHOKE,,
H0000,80615-1/2A,,6434,,,,
58169,810000-180,,40844,,,,
58189,810000-647,,40317,,,,
12436,810003-031,,40689,,,,
30003,810AS822,,41117,,,,
98571,811059,,32305,,INDUCTOR,,
15786,81258,G,41264,,"TRANSFORMER,POWER,SD",,
36536,814229,,40739,,,,
98571,816482,,30396,,,,
10412,81793,,40825,,,,
57057,8180000027,,,,,,
80045,818236,,40701,,,,
98571,818873,,7962,,,,
10621,82010,C,40517,,,,
10621,82011,,41005,,,,
89244,822227,,41211,,,,
96214,822348,,32306,,INDUCTOR,,
XQ91,8224,,8224,,,,
35918,X23-25,SEE 41624,,,,,
52427,82705900,,7985,,,,
12464,B28C0015-3,S,40734-3,,"REACTOR, POWER",,
12464,B28C0025-5,F,40429-5,,,,
5869,722818,,8320,,COAST COIL PART,,
97151,8340721,,,,,,
98571,837298,C,30437,A,>>> SEE 3645 <<<,,
98571,838200,D,7724*,,TRANSFORMER,,
98571,564308,J,7725,,TRANSFORMER,,
98571,564370,F,7728,,INDUCTOR,,
98571,838205,,7722,,BUILT AT COAST COIL,,
28687,83E2N304,D,30249,,TRANSFORMER,,
28687,83E2N404,B,30250,,TRANSFORMER,,
56996,B4009472,,40473,,,,
79089,8415769,,40495,,,,
49671,8418570-1,,40721,,,,
98571,842104,,2303,,,,
97151,8421516,,41170,,,,
19200,8449366,,30102,,,,
6424,845080,D,41155,,,,
6424,845092,E,41156,,"COIL,RADIO FREQUENCY",,
8769,8500533,,40488,,,,
49671,8503681-7,F,32466,,/08-52F,,
7181,85076,,9791,,,,
87557,85099,,40541,,,,
49671,8516392-1,,40357,,,,
19200,7605355,,40860,,,,
98571,852970,B,2377,,FILTER,,
98571,852971,B,2378,,FILTER,,
98571,852972,B,2379,,FILTER,,
98571,852973,B,2380,,FILTER,,
98571,852974,B,2381,,FILTER,,
98571,852976,B,2383,,FILTER,,
98571,852977,B,2384,,FILTER,,
98571,852978,B,2385,,FILTER,,
98571,852979,B,2386,,FILTER,,
26485,8530051,C,7673,,TRANSFORMMER,,
97151,8532033,,41129,,,,
49671,8547050-1,,40325,,,,
49671,8547954-1,,41127,,,,
49671,8551019,BLT @ COAST,,,,,
49671,8558734-1,F,41235-1,,INDUCTOR,,
56232,857809REUB,,41221,,,,
49671,8584075,,40868,,,,
13973,860034-10,F,,,,,
H0000,860367,,2270,,,,
H0000,860368,,2271,,,,
H0000,860369,,2272,,,,
80045,2919956,E,,,,,
97424,8608K74-003,,40804,,,,
97424,8608W11P008,,41246-8,,"TRANSFORMER, POWER",,
97424,8608W15P001,B,40522,,3 PHASE TRANSFORMER,,
82577,860942,E,40478,,"REACTOR,POWER",,
13973,860972-4,,41165,,,,
13973,861013-8,,40579,,,,
A0087,2005047,F,8619,,,,
6424,861965,J,41154,,,,
21856,8647,,30062,,,,
13973,865078,,40978,,,,
12574,8743-EP-1043,B,2334,,FILTER,,
18876,87528196,,40285,,,,
XQ85,8806,,8806,,,,
A0027,11743662,,8826,,COAST PART,,
12574,8853-EP-0062,,2396,,,,
99971,885C910,,40560,,,,
99971,885C991P1,C,32625,,3.3 V TRANSFORMER,,
12464,B86K0185-4,,32433,,/05-52B,,
5869,722804-36,BLT @ COAST,8877,,,,
5254,8878,COAST COIL,8878,,,,
57057,8892400020-1,A,32605,,REACTOR,,
96214,889283-1,,,,,,
80249,890534,,40379,,,,
80249,890685,,40475,,,,
22915,1M154-1,A,8919,,BUILT AT COAST COIL,,
82577,986201,,8978-01,,COAST COIL PART,,
5254,8978-2,BLT @ COAST,8978-2,,,,
80249,8980624,,40381,,,,
11982,8G007-001,A,2375,,"FILTER, LOW PASS",,
11982,8G012-007,F,2305-7,,,,
11982,8G012-008,F,2305-8,,,,
11982,8G012-009,F,2305-9,,,,
T0001,8G075,,2346,,,,
T0001,8G076,,2348,,,,
T0001,8G077,,2349,,,,
11982,8G079-003,D,2353-3,,"FILTER, LOW PASS",,
12574,9000-EP-0062-1,A,2392-1,,,,
12574,9000-EP-0062-3,A,2392-3,,,,
6481,900123-48,,40486,,,,
6481,900128-11,M,,,,,
6481,900266,,70-00027,,,,
6481,900572-2,,40988-2,,Transformer,,
6481,900576,,32631,,COUPLED INDUCTOR,,
86360,902C2010-01,A,40555,,,,
86360,902C6610-01,A,8055F,,"RF, COIL, UNSHIELDED",,
86360,902C6810-03-020,D,41195,,,,
86360,902C7610-03,A,40133,,TRANSFORMER,,
98230,ON517172-08,B1,7909-8,,COIL,,
6481,905113,,7457,,,,
5257,905126,D,40482,,REACTOR,,
5257,905215,,,,,,
6481,905232,,7025,,,,
6481,905250,,7026,,,,
6481,905258,,7027,,,,
6481,905259,,6387,,,,
6481,905260,,6385,,,,
6481,905264-0001,K,6404,,REACTOR,,
98230,ON517172-07,B1,7909-7,,COIL,,
6481,905265,,6388,,,,
6481,905266,,6433,,,,
6481,905270,,6386,,,,
6481,905276,,6391,,,,
6481,905283,,6414,,,,
6481,905285,,6415,,,,
6481,905286,,6413,,,,
6481,905299,,6416,,,,
6481,905313,,6437,,,,
,9053232,,7291,,,,
6481,905334-2,L,7083-2,,,,
6481,905334-0003,L,7083-3,L,TRANSFORMER,JA,6/16/1986
6481,905334-0006,M,7083-6,,TRANSFORMER,,
6481,905336,,7063,,,,
6481,905337,,6517,,,,
6481,905341,,6518,,,,
6481,905342,,6732,,,,
6481,905349,,6515,,,,
6481,905350,,6516,,,,
6481,905371,,6585,,,,
6481,905377,,6586,,,,
6481,905475,,7029,,,,
6481,905480,,7030,,,,
6481,905500,L,7084,,TRANSFORMER,,
6481,905501,,7085,,,,
6481,905511,,7065,,,,
6481,905513-02,,,,,,
6481,905513-01,,7101-01,,,,
6481,905591,,40608,,,,
6481,905876,,40719,,,,
5257,9058988-1,,,,,,
6481,905943-0001,B,7668-1,A,TRANSFORMER,JA,12/11/1984
18876,9062940,,40467,,,,
0,9062942,,40843,,,,
18876,9062946,C2,41150,,,,
,9072597,,30322,,,,
,9072598,,30321,,,,
,9072603,,30320,,,,
18876,9072833,,,,,,
18876,9072870,,40368,,,,
18876,9072900,,40666,,,,
18876,9073000,D,40731,,,,
18876,9073419,,,,,,
98571,908-10,,2278,,,,
98571,908-11,,2279,,,,
H0000,909436,,6923,,,,
19156,910457,,40681,,,,
7181,91076,NC,9851,,OSCILLATOR TRANSFMR,,
19200,9110,,9110,,COAST COIL PART,,
XQ139,9112,,9112,,,,
XQ136,9120,,9120,,,,
T0001,914172,,7852,,,,
T0001,914203,,7851,,,,
,9162,,7714,,,,
18876,9166247,,40001,,,,
18876,9166276,F,,,,,
18876,9166359,E1,40447,,,,
18876,9167050,,41189,,,,
18876,9167884,,,,,,
18876,9174272,,40463,,,,
18876,9174654,,40872,,,,
18876,9174657,,40704,,,,
18876,9174658,,40591,,,,
XQ46,9174918,,40370,,,,
18876,9175057(D2),,40506,,,,
98230,ON517172-10,B1,7909-10,,COIL,,
18876,9175620,,32637,,INDUCTOR,,
18876,9175623,,40952,,,,
18876,9176113,,41256,,,,
18876,9184097,C2,40897,,,,
18876,9197813,E,40690-2,,REACTOR,,
12678,919002,,2209,,,,
,9190754,,7520,,,,
18876,9197075,E,41078,,,,
18876,9197675,,40933,,,,
6481,920467,,6737,,,,
7181,92081,C,9825,,TRANSFORMER,,
89954,927C805-1,,41175,,,,
12467,9300-109,E,3238D,,TRANSFORMER,,
H0000,930005,,2157,,,,
82577,930006-1,NC,2226,,"FILTER, BAND PASS",,
H0000,930323,,2158,,,,
82577,930425-2B,M,32442,,/05-61B,,
33128,9342799,A,7842-2,NC,TRANSFORMER,CHA,12/9/1984
XQ62,92009-11,COAST COIL PART,9350,,,,
70210,935007,,40443,A,TRANSFORMER,JA,1/6/1986
A0027,11507678,,9358,,,,
98571,939828,,6460,,,,
7181,94046A,,7531,,,,
,94283,L,30309,,"COIL,R.F.",,
6401,7905502,F,9440,,AUTO TRANSFORMER,,
A0027,11507680,,32332,,"TRANSFORMER, PWR",,
A0027,11507681,,9449,,,,
7181,94546,,7770,,,,
A0557,11507591,F,9457,,COAST PART 9457,,
24930,94584,L/K,50025,,,,
XQ100,9475,,9475,,,,
H0000,948604-001,D,7276,D,REACTOR,JA,3/19/1980
H0000,948607,,6377,,,,
22915,948815,,6288,,,,
82577,948819,,6369,,,,
H0000,948864,,6342,,,,
H0000,948869,,6368,,,,
H0000,948870-01,,6393,,,,
H0000,948871,,6394,,,,
82577,948874-01,,6339,,,,
82577,948875-25,,,,,,
82577,948889-01,F,7053-1,,REACTOR,,
82577,948889-014,F,7053-14,,REACTOR,,
82577,948889-018,F,7053-18,,REACTOR,,
82577,948889-005,F,7053-5,,REACTOR,,
82577,948900-04,,7054,,,,
87990,755002A7742-2,B,9491-2,,COIL RADIO FREQ,,
87990,755002A7742-6,,9491-6,,"COIL, RADIO FREQ",,
87990,755002A7742-4,B,9491-4,,COIL RADIO FREQ,,
87990,755002A7742-5,,9491-5,,"COIL, RADIO FREQ",,
87990,755002A7742-10,,9491-10,,"COIL, RADIO FREQ",,
87990,755002A7742-11,B,32337,,"INPUT FILTER,CM",,
6401,7904518-001,D,9492,,,,
A0027,11507832,,32333,,COUPLED INDUCTOR,,
XQ135,9511,,9511,,,,
49956,953218,E,40835,,"FILTER SET,LOW PASS",,
49956,953219-1,C,40834,,,,
XQ90,9546,,9546,,,,
73197,955029,,6786,,,,
82577,956082,,,,,,
94580,959151-1,K,32580,,/05-38F,,
35351,95995,,32425,,/05-44B,,
67177,95G3124,H,,,,,
98738,95G3257-1-1,,40965,,,,
95266,9610,C,40906,,,,
24930,96318,D/F,50131,,,,
A0027,11507745,,32485,,INDUCTOR,,
A0027,11507746,,9668,,,,
19200,11732391,H,32648,,CHOKE,,
19200,11732342,E,9708,,TRANSFORMER,,
XQ95,9713,COAST COIL,9713,,BUILT AT COAST COIL,,
XQ124,9772,J,9772,,,,
A0028,986152-001B,E,9778,,,,
82577,930448-1,K,,,,,
83003,9808-238,F,32640,,14/14V TXF,,
H0000,983020-105,,9866,,,,
82577,983103,,,,,,
H0000,983111,,6401,,,,
82577,983127-1,,,,,,
82577,984504-1,,7040,,,,
H0000,984595,,6447,,,,
82577,984622-1,A,40698,,TRANSFORMER,,
82577,984627,G,40382,,,,
82577,984629-1,NC,40568,,,,
82577,984630-1,,7004,,,,
82577,986125-001B,B,6939,B,REACTOR,JA,3/1/1985
82577,984641-1,,8027,,,,
82577,984671,,40409,,,,
82577,984673-1C,,32434,,/05-53B,,
82577,984676-1,BLT @ COAST,9809,,,,
82577,984690-1,,,,,,
82577,984692-1,,40991,,,,
82577,984698,,40710,,,,
A0236,984747-1,B,,,,,
82577,984751-001,D,7155,A,TRANSFORMER,,
82577,984752-001C,D,,,,,
82577,984765-1C,,41106,,,,
82577,984784-1B,,40373,,,,
82577,984819,,40705,,,,
82577,984832-1C,C,,,,,
82577,984862-1B,A,41126,,TRANSF. CURRENT,,
82577,984872-1,G,40335-1,,,,
82577,984873-1B,,40348,,,,
82577,984874-1B,C,40336,,,,
82577,984902,,6343,,,,
82577,984906,,6374,,,,
82577,984923,D,40442,,,,
82577,984926,,40334,,,,
82577,984930,,40725,,,,
24930,98495,,50002,,,,
24930,98499,,50001,,,,
24930,98514,D/D,50061,,,,
15090,986035-050,E,,,,,
22558,1251-3,NC,1251-3,,SUPPORT ARM ASSY,,
82577,986035-010,E,7021-10,,REACTOR,,
82577,986042-01,,9547-1,,,,
82577,986051-1,-,40501,,REACTOR,,
82577,986062,,7022,,,,
82577,986064,,9552,,,,
82577,986065-1,-,40532-1,,,,
82577,986068-1,,7005,,,,
82577,986086-1C,,41069,,,,
82577,986095-1,,9540,,,,
82577,986097,,40565,,,,
82577,986126-1B,,,,,,
82577,986127-1B,F,,,,,
82577,986142,,7023,,,,
82577,986144,,7024,,,,
82577,986150-1,A,6986,A,REACTOR,JA,9/1/1986
82577,986154-1,,7033,,,,
82577,986213-1B*,"F, SEE P/N 9774",40974,,"TRANSFORMER,POWER",,
82577,986217,,32458,,/11-93F,,
82577,986228-1,C,40697,,PULSE TRANS,,
82577,986237,,40892,,,,
89257,986244-1,,7372,,,,
82577,986246,,7370,,,,
82577,986247,,7368,,,,
82577,986248,,7369,,,,
82577,986255-3B,,40441-3,,REACTOR,,
82577,986257-2B,,40352-2,,reactor,,
6816,989047-003,D,7315-3,,TRANSFORMER,,
82577,9890882-1,,7001,,,,
82577,989089-1C,,7316,,,,
82577,989094-3,,40574-3,,,,
82577,989095-5,,7110,,,,
82577,989112-26B,,40993,,,,
82577,989115-22B,,40351,,,,
82577,989120-1C,,7317,,,,
82577,989157,,40018,,"TRANSFORMER, POWER",,
A0027,3601357,,32642,,INDUCTOR,,
18323,990C804,,40455,,,,
H0000,995526-001,,70016,,,,
H0000,995547-1,,70018,,,,
58421,7456-1,NC,7456-1,,"TRANS, FIL, EXR",,
H0000,995551-1,,70019,,MIXER DOUBLE BALANCD,,
10001,996067,,,,,,
A0027,13034272,,9962,,,,
XQ36,9971,,32643,,TRANSFORMER,,
A0027,13043749,,9972,,,,
A0027,13043637,,9976,,,,
A0027,13043633,,9977,,,,
A0027,13043751,,9978-2,,,,
24930,99793,,50091,,,,
18876,9986756,,32470,,,,
18876,9992887,,40593,,,,
0,9998983,,32578,,/08-52F,,
24930,85779-2,K,50151-2,,COIL,,
28480,A-9140-0151P5,NC,40758,NC,RF COIL,CHA,5/28/1986
58384,A00224,,30262,,,,
6845,A103020,,40947,,,,
9306,A124181,D,,,,,
18150,A17285,G,30254,,,,
18150,A18691,D,7900,,TRANSFORMER,,
18150,A18807,F,7921,,,,
18150,A20897,G,7896,,TRANSFORMER,,
18150,A24164,,7878,,,,
18150,A25866,A,30049,,TRANSFORMER,,
18150,A25909,,30023,,,,
18150,A26191,,30130,,,,
18150,A26196,,30223,,,,
18150,A27176,D,30350,,,,
18150,A27525,-,30365,,,,
18150,A27526,-,30366,,TRANSFORMER,,
12436,A43809-001,B,41032,,TRANSFORMER,,
88818,A504A438,,40806,,,,
12436,A70560-007,A,41018-7,,,,
12436,A70560-028,A,41018-28,,"TRANSFORMER, RADIO F",,
99380,A740-81,,40360,,,,
,A842116,,7534,,,,
,A843/C,,8721,,,,
82679,AC111,,40417,,,,
91504,AE10323,,41227,,,,
34874,AF017598,,40867,,,,
22915,AL0002-001,NC/A05,7099,,TRANSFORMER,,
22915,AL0012-001,A/B01-BO4,30096,,TRANSFORMER,,
22915,AL0013,A/B03,,,,,
22915,AL0014-1,,30097-1,,,,
22915,AL0014-3,,30097-3,,,,
22915,AL0014-5,,30097-5,,,,
22915,AL0014-7,,30097-7,,,,
22915,AL0014-8,,30097-8,,,,
22915,AL0014-9,,30097-9,,,,
22915,AL0015-001,B/C01,3458,,INDUCTOR,,
22915,AL0021-001,NC/A01-A06,30264,,TRANSFORMER,,
22915,AL0022-001,A/B01-B05,30265,,TRANSFORMER,,
22915,AL0023,,30266,,,,
22915,AL0024,,30267,,,,
467,ON379057-1,06/A,30501-1,,,,
22915,AL0026-001,A/B01,30248,,INDUCTOR,,
22915,AL0029,C,30109,,TRANSFORMER,,
22915,AL0031-001,A02/A04,30205,,INDUCTOR,,
22915,AL0032-1,A,30053-1,,INDUCTOR,,
22915,AL0055-001,,30014,,,,
22915,AL0056-001,,30015,,,,
22915,AL0057-001,,30016,,,,
22915,AL0058-001,,30017,,,,
22915,AL0059-001,,30018,,,,
22915,AL0060-001,,30019,,,,
22915,AL0061-001,,30020,,,,
22915,AL0064-001,,30027,,,,
22915,AL0065-001,,30028,,,,
22915,AL0096,,30270,,,,
22915,AL0098,NC/A01-A04,30269,,INDUCTOR,,
22915,AL0099,,30332,,,,
22915,AL0102,,30331,,,,
22915,AL0104,,30325,,,,
22915,1M168,,30271,,,,
90095,APT-65,,40485,,,,
28480,B-06947-80091-1,,41232,,,,
,B-741-10,,2216,,,,
3538,B-7485544,,40914,,,,
28480,B-9100-1109-PM,,CT104,,Current Xfmr,,
H0000,B119017,,8033,,,,
H0000,B120989,,8718,,,,
H0000,B202277-001,,7321,,,,
H0000,B202278-001,,7322,,,,
H0000,B202279-001,,7323,,,,
14804,B504001060,,41186,,,,
12464,B86K0165-1,A,40332-1,A,"TRANSFORMER,POWER",JA,6/12/1986
12464,B86N0006-4,G,40717-4,,TRANSFORMER,,
H0000,C-102136-X,,6402,,,,
82005,C1500-09,C,,,,,
81755,C2087-1,,41059-1,,,,
98230,C215685,,41146,,,,
11982,C288845-1,NC,,,,,
11982,C288846-1,NC,,,,,
24930,96317,E/D,50142,,,,
53711,5347545,,32602,,/11-27F,,
88818,C504000230,,41044,,,,
88818,C504000245,,40487,,,,
81755,C511,,40845,,,,
88318,C702834113,,32340,,TRANSFORMER,,
88818,C702858112,P,40769,,,,
88818,C702866114,G,,,,,
88818,C702870612,E,,,,,
81755,C7823-1,,41075,,,,
81755,C8184,,41237,,,,
6481,CER51877,,6488,,,,
6481,CER51975,,6499,,,,
6481,CER51976,,6493,,,,
6481,CER51981,,6496,,,,
6481,CER51982,,6494,,,,
6481,CER51984,,6506,,,,
6481,CER51985,,6505,,,,
6481,CER51986,,6497,,,,
22915,AL0001-001,A04,6809,,TRANSFORMER,,
82679,CL146,NC,40819,,,,
,MIS-18116,,7203,,,,
,COAST-1,,4437,,,,
A0012,5210-6041,,8870-2,,,,
H0000,CPS 20495,,6347,,,,
80378,CVC5840-1,,40385,,,,
80378,CVC6070-3,,,,,,
23835,10214792,A,32615,,,,
81361,D5-19-6485,,30273,,,,
25656,D8-101023,,40896,,,,
98571,852975,B,2382,,FILTER,,
96238,DD43020131,,40833,,,,
,DE735,,30140,,,,
49956,DL242-1266,,41120,,,,
49956,DL74-1631,4,40838,,,,
12574,E0348-1,,2282-1,,,,
12574,E0390-26,,7336,,,,
12574,E0390-27,,7335,,,,
12574,E0406,,2302,,,,
12574,E0427,,2317,,,,
12574,E0441,,2322,,,,
12574,E0921,,2339,,,,
12574,E1074,,2336,,,,
59495,3718676-2,L,7514-2,,"TRANSFORMER,PULSE",,
T0001,E247660,,30127,,,,
T0001,E247661,,30126,,,,
T0001,E247662,,30125,,,,
T0001,E247663,,30124,,,,
96169,E7-2,,40300-02,,,,
96169,E7-3REVA,,40300-03,,,,
96169,E7-4,,40300-04,,,,
11982,EP201,,30397,,,,
13068,ETP3104F,H,40598,,,,
